energy, R80,A,B,C
205.7,236.13,3.030E-06,-1.414E-03,6.737E-01

depth,sigma,idd
0.00,-2.17,66.07
1.00,-2.17,66.71
2.00,-2.16,67.15
3.00,-2.15,67.50
4.00,-2.14,67.79
5.00,-2.13,68.07
6.00,-2.12,68.36
7.00,-2.11,68.58
8.00,-2.10,68.79
9.00,-2.09,68.97
10.00,-2.08,69.19
11.00,-2.07,69.37
12.00,-2.06,69.54
13.00,-2.05,69.71
14.00,-2.04,69.88
15.00,-2.03,70.06
16.00,-2.02,70.23
17.00,-2.01,70.41
18.00,-2.00,70.58
19.00,-1.99,70.76
20.00,-1.98,70.91
21.00,-1.97,71.07
22.00,-1.96,71.23
23.00,-1.95,71.38
24.00,-1.95,71.54
25.00,-1.94,71.68
26.00,-1.93,71.79
27.00,-1.92,71.94
28.00,-1.91,72.09
29.00,-1.90,72.23
30.00,-1.89,72.38
31.00,-1.88,72.51
32.00,-1.87,72.66
33.00,-1.86,72.80
34.00,-1.85,72.94
35.00,-1.84,73.09
36.00,-1.83,73.24
37.00,-1.82,73.34
38.00,-1.81,73.46
39.00,-1.80,73.60
40.00,-1.80,73.77
41.00,-1.79,73.93
42.00,-1.78,74.06
43.00,-1.77,74.19
44.00,-1.76,74.33
45.00,-1.75,74.46
46.00,-1.74,74.57
47.00,-1.73,74.68
48.00,-1.72,74.81
49.00,-1.71,74.97
50.00,-1.70,75.08
51.00,-1.69,75.19
52.00,-1.68,75.32
53.00,-1.67,75.47
54.00,-1.66,75.57
55.00,-1.65,75.69
56.00,-1.64,75.81
57.00,-1.63,75.93
58.00,-1.62,76.05
59.00,-1.61,76.18
60.00,-1.60,76.31
61.00,-1.59,76.47
62.00,-1.58,76.60
63.00,-1.57,76.73
64.00,-1.56,76.86
65.00,-1.54,77.00
66.00,-1.53,77.13
67.00,-1.52,77.26
68.00,-1.51,77.38
69.00,-1.50,77.52
70.00,-1.49,77.66
71.00,-1.48,77.76
72.00,-1.47,77.83
73.00,-1.46,77.97
74.00,-1.45,78.10
75.00,-1.43,78.23
76.00,-1.42,78.39
77.00,-1.41,78.51
78.00,-1.40,78.64
79.00,-1.39,78.79
80.00,-1.37,78.93
81.00,-1.36,79.08
82.00,-1.35,79.20
83.00,-1.34,79.34
84.00,-1.33,79.49
85.00,-1.31,79.65
86.00,-1.30,79.79
87.00,-1.29,79.94
88.00,-1.27,80.09
89.00,-1.26,80.25
90.00,-1.25,80.39
91.00,-1.24,80.53
92.00,-1.22,80.68
93.00,-1.21,80.82
94.00,-1.20,80.95
95.00,-1.18,81.10
96.00,-1.17,81.26
97.00,-1.16,81.39
98.00,-1.14,81.55
99.00,-1.13,81.67
100.00,-1.11,81.82
101.00,-1.10,81.98
102.00,-1.09,82.13
103.00,-1.07,82.29
104.00,-1.06,82.44
105.00,-1.04,82.58
106.00,-1.03,82.75
107.00,-1.02,82.91
108.00,-1.00,83.07
109.00,-0.99,83.21
110.00,-0.97,83.35
111.00,-0.96,83.51
112.00,-0.94,83.67
113.00,-0.93,83.80
114.00,-0.91,83.94
115.00,-0.90,84.08
116.00,-0.88,84.23
117.00,-0.87,84.38
118.00,-0.85,84.54
119.00,-0.84,84.69
120.00,-0.82,84.85
121.00,-0.80,85.00
122.00,-0.79,85.17
123.00,-0.77,85.33
124.00,-0.76,85.52
125.00,-0.74,85.70
126.00,-0.73,85.88
127.00,-0.71,86.06
128.00,-0.69,86.24
129.00,-0.68,86.40
130.00,-0.66,86.60
131.00,-0.64,86.79
132.00,-0.63,86.98
133.00,-0.61,87.17
134.00,-0.59,87.36
135.00,-0.57,87.57
136.00,-0.56,87.77
137.00,-0.54,87.97
138.00,-0.52,88.20
139.00,-0.50,88.40
140.00,-0.49,88.62
141.00,-0.47,88.82
142.00,-0.45,89.05
143.00,-0.43,89.27
144.00,-0.41,89.52
145.00,-0.40,89.75
146.00,-0.38,89.99
147.00,-0.36,90.24
148.00,-0.34,90.48
149.00,-0.32,90.73
150.00,-0.30,91.00
151.00,-0.28,91.25
152.00,-0.26,91.53
153.00,-0.25,91.80
154.00,-0.23,92.08
155.00,-0.21,92.35
156.00,-0.19,92.65
157.00,-0.17,92.94
158.00,-0.15,93.24
159.00,-0.13,93.54
160.00,-0.11,93.85
161.00,-0.09,94.18
162.00,-0.07,94.51
163.00,-0.05,94.85
164.00,-0.03,95.19
165.00,-0.01,95.53
166.00,0.01,95.90
167.00,0.04,96.29
168.00,0.06,96.68
169.00,0.08,97.07
170.00,0.10,97.47
171.00,0.12,97.89
172.00,0.14,98.31
173.00,0.17,98.74
174.00,0.19,99.18
175.00,0.21,99.62
176.00,0.23,100.07
177.00,0.25,100.57
178.00,0.28,101.07
179.00,0.30,101.58
180.00,0.32,102.10
181.00,0.35,102.65
182.00,0.37,103.21
183.00,0.39,103.79
184.00,0.42,104.40
185.00,0.44,105.02
186.00,0.46,105.68
187.00,0.49,106.34
188.00,0.51,107.01
189.00,0.54,107.69
190.00,0.56,108.42
191.00,0.59,109.18
192.00,0.61,109.95
193.00,0.64,110.74
194.00,0.66,111.58
195.00,0.69,112.45
196.00,0.71,113.33
197.00,0.74,114.26
198.00,0.76,115.22
199.00,0.79,116.26
200.00,0.82,117.31
201.00,0.84,118.43
202.00,0.87,119.58
203.00,0.90,120.76
204.00,0.92,122.04
205.00,0.95,123.36
206.00,0.98,124.74
207.00,1.01,126.22
208.00,1.03,127.77
209.00,1.06,129.43
210.00,1.09,131.18
211.00,1.12,133.05
212.00,1.15,135.08
213.00,1.18,137.23
214.00,1.21,139.54
215.00,1.24,142.03
216.00,1.27,144.70
217.00,1.30,147.59
218.00,1.34,150.78
219.00,1.37,154.25
220.00,1.40,158.12
221.00,1.44,162.43
222.00,1.47,167.28
223.00,1.51,172.76
224.00,1.55,179.02
225.00,1.58,186.24
226.00,1.62,194.68
227.00,1.67,204.68
228.00,1.70,216.60
229.00,1.74,230.60
230.00,1.76,246.24
231.00,1.78,262.02
232.00,1.77,274.89
233.00,1.76,280.73
234.00,1.74,275.19
235.00,1.71,255.67
236.00,1.67,222.75
237.00,1.64,180.37
238.00,1.60,134.88
239.00,1.57,92.75
240.00,1.54,58.45
241.00,1.04,33.63
242.00,3.00,17.66
243.00,3.00,8.47
244.00,3.00,3.70
245.00,3.00,1.47
246.00,3.00,0.54
247.00,3.00,0.18
248.00,3.00,0.05
249.00,3.00,0.01
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
